CTNH001|SP001|10|2000000.00|20000000.00
CTNH002|SP002|8|2500000.00|20000000.00
CTNH003|SP003|12|1500000.00|18000000.00
CTNH004|SP004|15|1000000.00|15000000.00
CTNH005|SP005|10|1200000.00|12000000.00
CTNH006|SP006|20|700000.00|14000000.00
CTNH007|SP007|18|800000.00|14400000.00
CTNH008|SP008|10|1800000.00|18000000.00
CTNH009|SP009|9|2000000.00|18000000.00
CTNH010|SP010|11|1700000.00|18700000.00
CTNH011|SP011|30|120000.00|3600000.00
CTNH012|SP012|25|180000.00|4500000.00
CTNH013|SP013|35|80000.00|2800000.00
CTNH014|SP014|20|220000.00|4400000.00
CTNH015|SP015|28|100000.00|2800000.00
CTNH016|SP001|5|2100000.00|10500000.00
CTNH017|SP002|4|2600000.00|10400000.00
CTNH018|SP003|6|1550000.00|9300000.00
CTNH019|SP004|8|1050000.00|8400000.00
CTNH020|SP005|5|1250000.00|6250000.00
CTNH021|SP006|10|720000.00|7200000.00
CTNH022|SP007|9|820000.00|7380000.00
CTNH023|SP008|5|1850000.00|9250000.00
CTNH024|SP009|4|2050000.00|8200000.00
CTNH025|SP010|6|1750000.00|10500000.00
CTNH026|SP011|15|125000.00|1875000.00
CTNH027|SP012|12|185000.00|2220000.00
CTNH028|SP013|18|85000.00|1530000.00
CTNH029|SP014|10|225000.00|2250000.00
CTNH030|SP015|14|105000.00|1470000.00
CTNH031|SP001|3|2200000.00|6600000.00
CTNH032|SP002|2|2700000.00|5400000.00
CTNH033|SP003|4|1600000.00|6400000.00
CTNH034|SP004|5|1100000.00|5500000.00
CTNH035|SP005|3|1300000.00|3900000.00
PN023_SP015|SP015|10|40000.00|400000.00
