HD001|SP001|2|2500000.00|5000000.00
HD001|SP002|1|3200000.00|3200000.00
HD002|SP003|2|1800000.00|3600000.00
HD002|SP011|4|150000.00|600000.00
HD003|SP004|1|1200000.00|1200000.00
HD003|SP012|3|200000.00|600000.00
HD004|SP005|2|1500000.00|3000000.00
HD004|SP013|5|100000.00|500000.00
HD005|SP006|1|800000.00|800000.00
HD005|SP014|2|250000.00|500000.00
HD006|SP007|3|900000.00|2700000.00
HD006|SP015|4|120000.00|480000.00
HD007|SP008|2|2000000.00|4000000.00
HD007|SP001|1|2500000.00|2500000.00
HD008|SP009|1|2200000.00|2200000.00
HD008|SP012|2|200000.00|400000.00
HD009|SP010|2|1900000.00|3800000.00
HD009|SP011|3|150000.00|450000.00
HD010|SP002|1|3200000.00|3200000.00
HD010|SP013|2|100000.00|200000.00
HD011|SP003|2|1800000.00|3600000.00
HD011|SP014|1|250000.00|250000.00
HD012|SP004|2|1200000.00|2400000.00
HD012|SP015|2|120000.00|240000.00
HD013|SP005|1|1500000.00|1500000.00
HD013|SP011|1|150000.00|150000.00
HD014|SP006|3|800000.00|2400000.00
HD014|SP012|2|200000.00|400000.00
HD015|SP007|2|900000.00|1800000.00
HD015|SP013|1|100000.00|100000.00
HD016|SP008|1|2000000.00|2000000.00
HD016|SP014|2|250000.00|500000.00
HD017|SP009|2|2200000.00|4400000.00
HD017|SP015|1|120000.00|120000.00
HD018|SP010|1|1900000.00|1900000.00
HD018|SP011|1|150000.00|150000.00
HD019|SP001|2|2500000.00|5000000.00
HD019|SP012|1|200000.00|200000.00
HD020|SP002|1|3200000.00|3200000.00
HD020|SP013|2|100000.00|200000.00
HD021|SP003|2|1800000.00|3600000.00
HD021|SP014|1|250000.00|250000.00
HD022|SP004|1|1200000.00|1200000.00
HD022|SP015|3|120000.00|360000.00
HD023|SP015|5|120000.00|600000.00
