HD001|KH001|2024-01-15|5000000
HD002|KH002|2024-01-16|3200000
HD003|KH003|2024-01-17|1800000
HD004|KH004|2024-01-18|2400000
HD005|KH005|2024-01-19|1500000
HD006|KH006|2024-01-20|3600000
HD007|KH007|2024-01-21|2800000
HD008|KH008|2024-01-22|1900000
HD009|KH009|2024-01-23|4200000
HD010|KH010|2024-01-24|2100000
HD011|KH001|2024-01-25|3000000
HD012|KH002|2024-01-26|2500000
HD013|KH003|2024-01-27|1700000
HD014|KH004|2024-01-28|3800000
HD015|KH005|2024-01-29|2200000
HD016|KH006|2024-01-30|2900000
HD017|KH007|2024-02-01|3400000
HD018|KH008|2024-02-02|1600000
HD019|KH009|2024-02-03|4100000
HD020|KH010|2024-02-04|2700000
HD021|KH001|2024-02-05|3300000
HD022|KH002|2024-02-06|2000000

